GPS:GCCG 01:-49318.5207777023:5743.00828075409:35195.6067576408:#FF75C9F1:
GPS:GCCG 02:923078.752936355:12311.859242639:1626534.97081425:#FF75C9F1:
GPS:GCCG 03:-271758.225699948:-2406254.54831704:298291.13218985:#FF75C9F1:
GPS:GCCG 04:3050452.50420321:-1366600.77677486:-2408769.89651554:#FF75C9F1:
GPS:GCCG 05:174174.363634586:93546.7978725433:5702555.73590183:#FF75C9F1:
GPS:GCCG 06:-3683861.12636316:1391701.01045293:5402944.92922927:#FF75C9F1:
GPS:IGSB 01:65856.7390032009:-48945.0904256231:-62661.1008120163:#FF75C9F1:
GPS:IGSB 02:1048584.41796176:223053.010069725:1670777.3400825:#FF75C9F1:
GPS:IGSB 03:-316620.76919508:-2419121.73418701:349541.936801672:#FF75C9F1:
GPS:IGSB 04:138258.504626506:42854.9257849428:5786920.83598816:#FF75C9F1:
GPS:IGSB 05:-408938.927801803:-6478562.39577997:6104391.29863875:#FF75C9F1:
GPS:ISCS 01:-78531.6952536663:40384.2280961199:-53488.1910233419:#FF75C9F1:
GPS:ISCS 02:917349.834308377:29074.8191060539:1617951.47590164:#FF75C9F1:
GPS:ISCS 03:1029847.34421397:90097.8793264627:1583879.9369657:#FF75C9F1:
GPS:ISCS 04:-267597.230625562:-2406798.19653772:345454.455006629:#FF75C9F1:
GPS:ISCS 05:-308504.93377836:-2431646.72188314:336088.174025446:#FF75C9F1:
GPS:ISCS 06:-1510508.34972016:-7095950.98325195:5353494.49060831:#FF75C9F1:
GPS:ISCS 07:-1890785.4244616:7395262.69995487:5911495.51701574:#FF75C9F1:
GPS:ISDE 01:26327.2485337257:-1479.86450711638:54685.9129309654:#FF75C9F1:
GPS:ISDE 02:30555.4805546841:221818.5901649:5786357.70744659:#FF75C9F1:
GPS:ISDE 03:116357.095103145:123009.670131266:5788827.97968912:#FF75C9F1:
GPS:ISDE 04:-5660309.46134524:-2316708.47039574:20520997.3553325:#FF75C9F1:
GPS:ISDE 05:-225782.516723605:3472503.5069188:21278524.1241419:#FF75C9F1:
GPS:ISDE 06:-22473470.8873139:-6736929.07910089:10170508.66207:#FF75C9F1:
GPS:ISDE 07:12387939.8430367:19617821.2508656:-13729253.1057223:#FF75C9F1:
GPS:ISDE 08:1433553.71229194:-17642934.3473679:-23797447.7713533:#FF75C9F1:
GPS:ISDE 09:-12998259.8719114:-5069974.63624628:-26187962.4655257:#FF75C9F1:
